x	t	u(x,t)
0.00	0.00	0.000000
0.00	0.11	0.000000
0.00	0.22	0.000000
0.00	0.33	0.000000
0.00	0.44	0.000000
0.00	0.56	0.000000
0.00	0.67	0.000000
0.00	0.78	0.000000
0.00	0.89	0.000000
0.00	1.00	0.000000
0.89	0.00	1.382716
0.89	0.11	1.367069
0.89	0.22	1.351725
0.89	0.33	1.336673
0.89	0.44	1.321903
0.89	0.56	1.307402
0.89	0.67	1.293162
0.89	0.78	1.279173
0.89	0.89	1.265424
0.89	1.00	1.251909
1.78	0.00	1.975309
1.78	0.11	1.959508
1.78	0.22	1.943713
1.78	0.33	1.927929
1.78	0.44	1.912163
1.78	0.56	1.896417
1.78	0.67	1.880698
1.78	0.78	1.865009
1.78	0.89	1.849353
1.78	1.00	1.833734
2.67	0.00	1.777778
2.67	0.11	1.761975
2.67	0.22	1.746173
2.67	0.33	1.730371
2.67	0.44	1.714569
2.67	0.56	1.698769
2.67	0.67	1.682969
2.67	0.78	1.667172
2.67	0.89	1.651377
2.67	1.00	1.635585
3.56	0.00	0.790123
3.56	0.11	0.774321
3.56	0.22	0.758519
3.56	0.33	0.742716
3.56	0.44	0.726914
3.56	0.56	0.711112
3.56	0.67	0.695311
3.56	0.78	0.679511
3.56	0.89	0.663713
3.56	1.00	0.647918
4.44	0.00	-0.987654
4.44	0.11	-1.003457
4.44	0.22	-1.019258
4.44	0.33	-1.035056
4.44	0.44	-1.050846
4.44	0.56	-1.066623
4.44	0.67	-1.082379
4.44	0.78	-1.098106
4.44	0.89	-1.113794
4.44	1.00	-1.129434
5.33	0.00	-3.555556
5.33	0.11	-3.571343
5.33	0.22	-3.587057
5.33	0.33	-3.602599
5.33	0.44	-3.617871
5.33	0.56	-3.632782
5.33	0.67	-3.647255
5.33	0.78	-3.661224
5.33	0.89	-3.674630
5.33	1.00	-3.687423
6.22	0.00	-6.913580
6.22	0.11	-6.927843
6.22	0.22	-6.937605
6.22	0.33	-6.941672
6.22	0.44	-6.940486
6.22	0.56	-6.934458
6.22	0.67	-6.923970
6.22	0.78	-6.909379
6.22	0.89	-6.891020
6.22	1.00	-6.869200
7.11	0.00	-11.061728
7.11	0.11	-10.920498
7.11	0.22	-10.628179
7.11	0.33	-10.347459
7.11	0.44	-10.077776
7.11	0.56	-9.818598
7.11	0.67	-9.569422
7.11	0.78	-9.329771
7.11	0.89	-9.099196
7.11	1.00	-8.877269
8.00	0.00	-16.000000
8.00	0.11	0.000000
8.00	0.22	0.000000
8.00	0.33	0.000000
8.00	0.44	0.000000
8.00	0.56	0.000000
8.00	0.67	0.000000
8.00	0.78	0.000000
8.00	0.89	0.000000
8.00	1.00	0.000000
