
Interval size: 0.01
x	 y
0.00	 1.000000
0.01	 0.996340
0.02	 0.992720
0.03	 0.989144
0.04	 0.985614
0.05	 0.982134
0.06	 0.978707
0.07	 0.975335
0.08	 0.972022
0.09	 0.968770
0.10	 0.965583
0.11	 0.962462
0.12	 0.959411
0.13	 0.956432
0.14	 0.953528
0.15	 0.950700
0.16	 0.947952
0.17	 0.945286
0.18	 0.942703
0.19	 0.940206
0.20	 0.937796
0.21	 0.935477
0.22	 0.933249
0.23	 0.931114
0.24	 0.929074
0.25	 0.927131
0.26	 0.925287
0.27	 0.923542
0.28	 0.921898
0.29	 0.920356
0.30	 0.918918
0.31	 0.917585
0.32	 0.916357
0.33	 0.915236
0.34	 0.914223
0.35	 0.913318
0.36	 0.912522
0.37	 0.911836
0.38	 0.911260
0.39	 0.910796
0.40	 0.910442
0.41	 0.910200
0.42	 0.910070
0.43	 0.910052
0.44	 0.910145
0.45	 0.910352
0.46	 0.910670
0.47	 0.911100
0.48	 0.911642
0.49	 0.912295
0.50	 0.913060
0.51	 0.913935
0.52	 0.914921
0.53	 0.916017
0.54	 0.917221
0.55	 0.918535
0.56	 0.919957
0.57	 0.921485
0.58	 0.923120
0.59	 0.924861
0.60	 0.926706
0.61	 0.928655
0.62	 0.930707
0.63	 0.932860
0.64	 0.935113
0.65	 0.937466
0.66	 0.939918
0.67	 0.942466
0.68	 0.945110
0.69	 0.947848
0.70	 0.950679
0.71	 0.953602
0.72	 0.956616
0.73	 0.959718
0.74	 0.962909
0.75	 0.966185
0.76	 0.969546
0.77	 0.972990
0.78	 0.976515
0.79	 0.980121
0.80	 0.983805
0.81	 0.987567
0.82	 0.991404
0.83	 0.995315
0.84	 0.999298
0.85	 1.003352
0.86	 1.007475
0.87	 1.011666
0.88	 1.015922
0.89	 1.020244
0.90	 1.024628
0.91	 1.029073
0.92	 1.033578
0.93	 1.038141
0.94	 1.042760
0.95	 1.047435
0.96	 1.052163
0.97	 1.056943
0.98	 1.061773
0.99	 1.066652
1.00	 1.071578
1.01	 1.076550
1.02	 1.081566
1.03	 1.086625
1.04	 1.091725
1.05	 1.096866
1.06	 1.102044
1.07	 1.107260
1.08	 1.112511
1.09	 1.117797
1.10	 1.123115
1.11	 1.128465
1.12	 1.133845
1.13	 1.139254
1.14	 1.144691
1.15	 1.150154
1.16	 1.155642
1.17	 1.161153
1.18	 1.166688
1.19	 1.172244
1.20	 1.177820
1.21	 1.183415
1.22	 1.189028
1.23	 1.194658
1.24	 1.200303
1.25	 1.205963
1.26	 1.211637
1.27	 1.217323
1.28	 1.223021
1.29	 1.228729
1.30	 1.234447
1.31	 1.240174
1.32	 1.245908
1.33	 1.251649
1.34	 1.257395
1.35	 1.263147
1.36	 1.268903
1.37	 1.274662
1.38	 1.280423
1.39	 1.286186
1.40	 1.291950
1.41	 1.297714
1.42	 1.303478
1.43	 1.309240
1.44	 1.314999
1.45	 1.320756
1.46	 1.326510
1.47	 1.332259
1.48	 1.338004
1.49	 1.343743
1.50	 1.349476
1.51	 1.355203
1.52	 1.360922
1.53	 1.366633
